ITEM_CD,ITEM_NM,ITEM_GROUP_NM,SPEC,BASIC_UNIT,HS_CD
2811069,"PACKING,U/NOK,ISI/100X115X9",SB50,"NOK,ISI/100X115X9",EA,8431.49-9000
2811071,"PACKING,U/SB81/NOK,ISI/140X155.5X9",SB81,"NOK,ISI/140x155.5x9, Urethane, -",EA,8431.49-9000
2811072,"PACKING,U/NOK,ISI/160X175X9",SB125,"NOK,ISI/160X175X9",EA,8431.49-9000
2811073,"PACKING,U/NOK,ISI/170X185X9/FU1443K0",SB130,"NOK,ISI/170X185X9/FU1443K0",EA,8431.49-9000
2811076,"SEAL,STEP/NOK,SPNS138+O-RING/05ZF",SB81,"NOK, SPNS138+O-RING, -, -",EA,8431.49-9000
2811076ES,"SEAL,STEP/NOK,SPNS138+O-RING/05ZF",SB81,"NOK, SPNS138+O-RING, 05ZF, -",EA,8431.49-9000
2811077,"SEAL,STEP/NOK,SPNS147+O-RING/05ZF",SB100,"NOK,SPNS147+O-RING, 05ZF, -",EA,8431.49-9000
2811078,"SEAL,STEP/NOK,SPNS157+O-RING/05ZF",SB125,"NOK,SPNS157+O-RING, 05ZF, -",EA,8431.49-9000
2811079,"SEAL,STEP/NOK,SPNY172/사각링/G928/05ZF",SB140,"NOK SPNS 172, 05ZF, -",EA,8431.49-9000
2811080,"SEAL,STEP/NOK,SPNY177/사각링/G928/05ZF",SB151,"NOK SPNY177+사각링(G928), 05ZF, -",EA,8431.49-9000
2811095,"PACKING,U/SU+105/NOK,IUIS/D150XD165X9",SB공통,"NOK,IUIS/D150XD165X9",EA,8431.49-9000
2811096,"PACKING,U/SU+85/NOK,IUIS/D140XD155X9",SB공통,"NOK,IUIS/D140XD155X9",EA,8431.49-9000
2811098,"PACKING,U/SU+125/NOK,IUIS/160X175X9/U641",SB공통,"NOK,IUIS/160X175X9",EA,8431.49-9000
2811099,"PACKING,U/SU+145/NOK,IUIS/175X190X9/UH05",SB공통,"NOK,IUIS/175X190X9",EA,8431.49-9000
2811100,"PACKING,U/SU+155,165/NOK,IUIS/180X200X12",SB공통,"NOK,IUIS/180X200X12",EA,8431.49-9000
